long,lat,HYBAS_ID,pct_wts,DGUP
-143.141997,70.06160442,8100008880,0.2,0
-144.9811096,69.92687851,8100008720,0.3,1
-141.2058604,69.57334992,8100009000,0.1,0
-144.9141887,69.73183451,8100086500,0.7,1
-143.4231058,69.64410895,8100087110,0.5,1
-143.2935297,69.46731229,8100362730,0.3,1
-143.5308857,69.49414205,8100087910,0.8,1
-157.0748229,69.26454361,8100093970,0.9,1
-145.0903306,67.66220922,8100120130,0.0,0
-140.9851403,69.49672773,8100089090,0.3,0
-137.2814663,68.14233306,8100109240,0.1,0
-139.2013097,69.24381068,8100009180,0.3,0
-160.2534535,67.79871884,8100113160,0.5,0
-146.6516439,67.5935902,8100120020,0.5,0
-157.7599806,69.7459338,8100361550,0.8,1
-140.2445128,68.72047859,8100099670,0.4,0
-148.3288952,69.05138339,8100365050,0.4,1
-144.720498,67.4705642,8100376890,0.3,0
-157.2582303,68.99916696,8100095740,0.7,0
-146.2252945,67.40169028,8100377700,0.5,1
-160.4752284,69.52543411,8100089130,0.5,1
-143.7424094,67.54020882,8100376560,0.6,1
-144.8957438,67.60040518,8100120300,0.2,0
-162.1858361,68.85095737,8100098400,0.3,0
-143.5406034,67.36305869,8100378280,0.2,0
-159.4703263,69.20410494,8100092440,0.5,0
-161.5607852,68.87289757,8100366490,0.3,1
-142.980959,67.97380614,8100112970,0.4,1
-142.0249648,69.65231321,8100086980,0.4,0
-154.1303339,70.31300472,8100081800,0.1,0
-146.0026163,69.91992838,8100084630,0.4,0
-144.0320106,69.63113357,8100086290,0.4,1
-158.8923373,69.84172907,8100085500,0.7,1
-150.0000275,69.25109782,8100090920,0.4,0
-138.7436594,69.14750411,8100009220,0.1,0
-143.4553991,67.67030805,8100374630,0.9,0
-143.1605038,67.92154268,8100112960,0.7,1
-163.8935877,68.91760691,8100007490,0.1,0
-141.80126,67.50630969,8100122880,0.5,0
-141.0826428,67.99398987,8100111770,0.6,0
-144.2035818,68.01542627,8100112550,0.4,0
-140.3467716,69.45612295,8100009070,0.3,0
-145.7801123,68.27520992,8100108680,0.2,0
-144.6087737,68.36034843,8100107460,0.1,0
-164.2980018,68.39160113,8100106520,0.5,0
-149.5831337,68.60839853,8100101650,0.1,0
-149.4782397,67.10531693,8100130680,0.7,0
-151.963737,67.87299386,8100113280,0.4,0
-138.5517361,68.42135007,8100105860,0.5,0
-139.890894,67.36134563,8100121100,0.3,0
-150.2205497,68.5204093,8100101410,0.7,0
-148.8053312,68.58288377,8100101240,0.4,0
-151.3403546,67.83613327,8100116160,0.5,0
